Alcohol Present,Distracted in Driving,height,weight,Age,Sex,Race,premovement before collision,Body Category,Pre-event Location,Curb Weight,Model Year,Clock-form Direction of force,Speed Limit,Number of lanes,Traffic Condition,Surface Condition,Surface Type,Uphill or Downhill,Crash Type,Lighting Condition,Related to Intersection,Traffic Conrtol Functioning,Climate,Alignment of Road,CASEWGT,year,month,Day in Week
0.0,1.0,183,95,42,1,1,1,3,1,2158,2006,0,48,2,0,1,2,1,4,1,1,0,1,1,7286,2018,5,5
0.0,1.0,150,77,33,2,1,1,1,1,2240,1999,0,72,4,0,1,2,1,4,1,2,0,1,1,2604,2019,9,4
0.0,1.0,168,86,70,1,2,14,0,1,1441,2012,10,64,4,0,1,2,4,4,3,2,0,1,2,6550,2019,4,1
0.0,2.0,165,57,37,2,1,14,0,1,1610,2008,0,56,5,1,1,2,1,1,3,2,2,1,3,86,2010,9,6
0.0,1.0,163,82,24,2,1,15,0,1,1221,2007,100,89,4,0,1,2,1,5,1,0,0,1,1,4476,2020,8,7
0.0,1.0,183,100,39,1,1,14,2,1,1840,2006,340,64,2,0,1,2,4,6,1,0,0,8,3,219,2009,7,4
0.0,1.0,185,113,20,1,1,1,2,1,2210,2007,10,56,7,1,1,2,1,4,1,2,2,1,1,7,2014,7,7
0.0,1.0,170,86,20,1,1,1,0,1,1569,2009,0,48,3,1,1,2,2,4,3,2,2,1,1,532,2017,7,3
0.0,1.0,165,86,48,2,2,1,0,1,1431,1998,10,48,4,0,1,2,1,4,1,2,0,1,1,5664,2017,4,7
0.0,1.0,183,102,54,1,1,1,3,1,2440,2007,80,56,4,0,1,2,1,4,1,2,0,1,1,21,2011,3,7
0.0,1.0,170,68,23,2,1,1,1,1,1509,2018,40,40,2,0,1,1,1,4,3,2,0,1,1,417,2021,6,7
0.0,1.0,170,54,20,2,1,1,0,1,1545,2021,50,64,3,1,1,2,1,4,1,2,2,1,1,408,2022,5,3
0.0,1.0,163,64,19,2,1,1,0,1,1640,2007,10,48,4,1,1,2,2,4,5,2,2,8,1,48,2010,5,1
0.0,1.0,164,68,29,2,1,1,0,1,1550,2010,280,56,5,1,1,2,1,4,1,2,2,1,1,39,2013,7,4
0.0,1.0,160,61,86,2,1,5,0,1,1200,2006,170,72,5,0,1,2,4,1,1,0,0,8,1,106,2010,10,6
0.0,2.0,157,100,65,2,1,11,1,1,1635,2014,30,56,5,1,2,2,1,4,3,2,2,2,1,195,2017,1,6
0.0,1.0,173,86,74,1,1,1,0,1,1170,2014,350,40,3,0,2,2,1,4,1,1,0,2,1,85,2018,1,5
