iter	MultiClassOneVsAll
0	0.6738258002
1	0.6586638887
2	0.6462153551
3	0.6374234061
4	0.6304832849
5	0.6248023898
6	0.6142539097
7	0.6096307298
8	0.6067328467
9	0.6025079505
10	0.5995731167
11	0.5972924847
12	0.5941589332
13	0.5902527315
14	0.5879197086
15	0.5846352538
16	0.5833252367
17	0.5800148002
18	0.576883828
19	0.5756916095
20	0.5746784876
21	0.5723617016
22	0.5692207522
23	0.5667041332
24	0.5646646696
25	0.562508371
26	0.5602064872
27	0.5588934562
28	0.5570168787
29	0.5550101429
30	0.5540018817
31	0.5528655355
32	0.5514146459
33	0.549631561
34	0.5482490398
35	0.5468086649
36	0.5455513843
37	0.5438274187
38	0.5416003782
39	0.5392855365
40	0.5370216819
41	0.5355873851
42	0.5342817247
43	0.5328903047
44	0.5316316146
45	0.5304905271
46	0.5294254126
47	0.5281661431
48	0.5268175668
49	0.5254687495
50	0.5245263207
51	0.5232126972
52	0.5222745632
53	0.5211256752
54	0.5199806485
55	0.5184490938
56	0.5172819338
57	0.5159314885
58	0.5147649512
59	0.5133640617
60	0.5124856323
61	0.51131335
62	0.5101485572
63	0.5090886977
64	0.5078171352
65	0.5063264357
66	0.5051582804
67	0.5043571809
68	0.50353267
69	0.5029531274
70	0.502027028
71	0.5010061008
72	0.4995607172
73	0.4984338927
74	0.4976085817
75	0.4968054547
76	0.4952633807
77	0.4943976224
78	0.4933219345
79	0.4919484767
80	0.4907780556
81	0.4896416992
82	0.4888241936
83	0.4882147232
84	0.4871379822
85	0.4859894034
86	0.4848994691
87	0.4839047158
88	0.4824886391
89	0.4816289227
90	0.480816328
91	0.4794083377
92	0.4784190325
93	0.4774284023
94	0.4764747841
95	0.4752979569
96	0.4742863134
97	0.4731516484
98	0.4723188937
99	0.4710108092
100	0.4699333772
101	0.4685721548
102	0.4676551718
103	0.4666708381
104	0.4656033064
105	0.4644209713
106	0.4634753892
107	0.4623247662
108	0.4610913481
109	0.4601721192
110	0.4595090609
111	0.4586803733
112	0.4579458021
113	0.4572070024
114	0.4563169188
115	0.4554798315
116	0.4548785481
117	0.453971452
118	0.4533301082
119	0.4524533484
120	0.4516006715
121	0.4508443364
122	0.4500881023
123	0.4494396476
124	0.4485751753
125	0.447600406
126	0.4467509071
127	0.4455790927
128	0.4444210509
129	0.4435773508
130	0.4427676803
131	0.4419456126
132	0.4409264748
133	0.4399036387
134	0.4391189223
135	0.4384992746
136	0.4378610993
137	0.4371974617
138	0.4363589695
139	0.4356457813
140	0.4346407793
141	0.4340814487
142	0.4332930546
143	0.4322501893
144	0.4312370975
145	0.4303966176
146	0.4294565378
147	0.4290364094
148	0.428246343
149	0.4274834867
150	0.426601286
151	0.4257824055
152	0.4254380032
153	0.4244540102
154	0.4238778986
155	0.4232553105
156	0.422314522
157	0.4211775257
158	0.4205269108
159	0.4200513006
160	0.4193815237
161	0.4186856648
162	0.4180337134
163	0.4175040368
164	0.4167747572
165	0.4161522559
166	0.4153642842
167	0.4145653304
168	0.4139312512
169	0.4132789425
170	0.412834539
171	0.4121726965
172	0.4113081427
173	0.410645697
174	0.410051805
175	0.4094400933
176	0.4089227637
177	0.4084667515
178	0.4079508041
179	0.407331659
180	0.4068050037
181	0.4061182146
182	0.4053917007
183	0.4047257744
184	0.4039829286
185	0.4033894826
186	0.402641563
187	0.4020743843
188	0.4014477591
189	0.4008868607
190	0.3999886547
191	0.3993283075
192	0.3984833991
193	0.3979773748
194	0.3972550865
195	0.3966804092
196	0.3961726623
197	0.3956386693
198	0.3948696588
199	0.3942148256
