iter	Passed	Remaining
0	2	587
1	5	547
2	8	535
3	10	522
4	13	514
5	15	512
6	18	505
7	20	501
8	23	499
9	26	494
10	28	489
11	30	483
12	33	482
13	36	483
14	38	479
15	41	477
16	44	475
17	46	470
18	49	467
19	51	467
20	54	461
21	56	460
22	59	456
23	61	452
24	64	450
25	66	445
26	69	442
27	71	440
28	74	437
29	76	433
30	79	431
31	81	427
32	83	424
33	86	423
34	89	419
35	91	418
36	94	415
37	96	412
38	99	409
39	101	406
40	103	403
41	106	401
42	108	397
43	111	395
44	114	393
45	116	390
46	119	388
47	122	386
48	124	384
49	127	382
50	130	379
51	132	377
52	135	374
53	137	371
54	139	368
55	142	365
56	145	364
57	147	361
58	150	358
59	152	356
60	155	353
61	157	350
62	160	347
63	162	345
64	164	342
65	167	339
66	169	336
67	172	334
68	174	331
69	176	328
70	179	326
71	181	323
72	184	320
73	186	318
74	189	315
75	191	313
76	194	310
77	196	308
78	199	305
79	202	303
80	204	300
81	207	298
82	210	296
83	212	293
84	215	291
85	217	288
86	220	286
87	223	284
88	226	282
89	228	279
90	231	276
91	233	274
92	236	272
93	239	269
94	241	267
95	244	264
96	246	262
97	249	259
98	252	257
99	255	255
100	257	252
101	260	250
102	262	247
103	265	244
104	268	242
105	270	240
106	273	237
107	275	234
108	278	232
109	280	229
110	283	227
111	285	224
112	288	221
113	290	219
114	293	216
115	295	214
116	298	211
117	300	209
118	303	206
119	305	203
120	307	200
121	310	198
122	312	195
123	315	193
124	317	190
125	320	188
126	322	185
127	325	183
128	327	180
129	330	177
130	332	175
131	335	172
132	338	170
133	340	167
134	343	165
135	345	162
136	347	159
137	349	157
138	352	154
139	354	152
140	357	149
141	359	146
142	362	144
143	364	141
144	367	139
145	369	136
146	372	134
147	374	131
148	377	129
149	379	126
150	382	124
151	384	121
152	386	118
153	389	116
154	392	113
155	395	111
156	397	108
157	400	106
158	403	103
159	406	101
160	408	98
161	411	96
162	414	94
163	416	91
164	419	88
165	421	86
166	424	83
167	427	81
168	430	78
169	432	76
170	435	73
171	438	71
172	441	68
173	444	66
174	446	63
175	449	61
176	452	58
177	454	56
178	457	53
179	460	51
180	463	48
181	465	46
182	468	43
183	470	40
184	473	38
185	476	35
186	478	33
187	481	30
188	484	28
189	487	25
190	489	23
191	492	20
192	494	17
193	497	15
194	499	12
195	502	10
196	505	7
197	507	5
198	509	2
199	512	0
