iter	MultiClassOneVsAll
0	0.6672851003
1	0.637649165
2	0.620511815
3	0.6099978605
4	0.5959159025
5	0.5835308289
6	0.557558795
7	0.5522141361
8	0.5395858971
9	0.5266152388
10	0.5174937699
11	0.5082441161
12	0.4970090854
13	0.4880736981
14	0.4810562351
15	0.475841289
16	0.4714852962
17	0.4657284522
18	0.4580758557
19	0.4483014704
20	0.4439809442
21	0.4354343581
22	0.4340022434
23	0.427948234
24	0.4249775088
25	0.4181701389
26	0.4139709059
27	0.4080510217
28	0.3986390872
29	0.3942667022
30	0.3869537536
31	0.3841870657
32	0.3802633987
33	0.3736224119
34	0.369282482
35	0.3681722517
36	0.3670968008
37	0.3643422724
38	0.3570742739
39	0.3473049831
40	0.3460664298
41	0.3404843162
42	0.3390500074
43	0.337900798
44	0.3330214175
45	0.3302462382
46	0.3284081894
47	0.3235865316
48	0.3201058386
49	0.3135196062
50	0.3105418516
51	0.3088759849
52	0.3030022892
53	0.2991626733
54	0.2916759041
55	0.2902141052
56	0.2858231771
57	0.2804360698
58	0.2756117277
59	0.272679731
60	0.2667925926
61	0.2626279832
62	0.2563273127
63	0.2539990777
64	0.2500695855
65	0.2473449623
66	0.241172102
67	0.235509233
68	0.2302758539
69	0.2275100196
70	0.2245794965
71	0.2185225852
72	0.2141613585
73	0.2090473054
74	0.2042639895
75	0.2015882054
76	0.1988254376
77	0.196321298
78	0.1945304961
79	0.191507158
80	0.1891919751
81	0.1845775854
82	0.1799017177
83	0.1766607416
84	0.174121511
85	0.1690619633
86	0.1650494634
87	0.1620989695
88	0.1590186496
89	0.1566413811
90	0.1548461535
91	0.1531903367
92	0.1498942502
93	0.1457538186
94	0.1446684013
95	0.1431256399
96	0.1416888755
97	0.139840524
98	0.1364780763
99	0.1343719584
100	0.1321856353
101	0.1310218673
102	0.1288835727
103	0.1263132232
104	0.1237143135
105	0.1222465917
106	0.120260392
107	0.1179628796
108	0.116193901
109	0.1146310333
110	0.1133555656
111	0.1114664155
112	0.1095792982
113	0.1077598728
114	0.1061216126
115	0.1046389618
116	0.1032125303
