iter	Passed	Remaining
0	26	26457
1	32	16130
2	66	22059
3	104	25920
4	136	27159
5	163	27097
6	176	24995
7	201	25037
8	229	25291
9	253	25082
10	277	24964
11	309	25507
12	334	25389
13	364	25645
14	367	24135
15	389	23927
16	421	24393
17	446	24332
18	469	24217
19	492	24125
20	497	23199
21	520	23126
22	543	23084
23	567	23069
24	593	23144
25	625	23417
26	656	23674
27	684	23776
28	709	23740
29	733	23701
30	756	23638
31	779	23579
32	801	23498
33	827	23501
34	851	23478
35	875	23443
36	907	23609
37	931	23571
38	932	22988
39	955	22933
40	981	22965
41	1004	22912
42	1034	23022
43	1065	23154
44	1092	23187
45	1117	23167
46	1143	23193
47	1166	23143
48	1190	23109
49	1212	23043
50	1241	23092
51	1263	23042
52	1287	23003
53	1310	22951
54	1335	22954
55	1358	22901
56	1382	22866
57	1404	22809
58	1430	22822
59	1453	22768
60	1475	22714
61	1498	22666
62	1524	22667
63	1546	22622
64	1568	22565
65	1592	22533
66	1616	22515
67	1641	22496
68	1663	22448
69	1691	22475
70	1726	22585
71	1758	22665
72	1791	22748
73	1823	22812
74	1856	22892
75	1882	22886
76	1905	22838
77	1931	22832
78	1955	22798
79	1981	22786
80	2012	22838
81	2041	22850
82	2063	22795
83	2085	22738
84	2108	22700
85	2130	22644
86	2153	22599
87	2182	22619
88	2213	22653
89	2236	22613
90	2259	22572
91	2291	22614
92	2330	22728
93	2355	22700
94	2386	22738
95	2422	22811
96	2445	22765
97	2469	22728
98	2492	22680
99	2518	22665
100	2543	22643
101	2568	22610
102	2602	22663
103	2625	22622
104	2662	22692
105	2686	22661
106	2710	22620
107	2734	22582
108	2756	22529
109	2790	22580
110	2815	22552
111	2838	22508
112	2868	22520
113	2892	22482
114	2919	22465
115	2943	22430
116	2966	22386
117	2991	22357
118	3015	22323
119	3038	22279
120	3060	22229
121	3084	22196
122	3106	22149
123	3133	22138
124	3157	22104
125	3180	22064
126	3205	22036
127	3228	21995
128	3252	21957
129	3282	21968
130	3307	21940
131	3331	21908
132	3364	21930
133	3387	21891
134	3410	21854
135	3434	21820
136	3456	21776
137	3483	21757
138	3512	21759
